,0,1,2,3,4,5,6,7,8
501619,2941265738579624393,1601044114854789170,2010-11-16T05:30:00-08:00,O que é Cultura?,"Cultura é o termo genérico usado para significar duas acepções diferentes. De um lado, o conjunto de costumes, civilização e realizações de uma época ou povo, e, de outro lado, artes, erudição e demais manifestações mais sofisticadas do intelecto e da sensibilidade humana, consideradas coletivamente. A cultura organizacional nada tem a ver com isto. No estudo das organizações, a cultura equivale ao modo de vida da organização em todos os seus aspectos, como idéias, crenças, costumes, regras, técnicas, etc. Neste sentido, todos os seres humanos são dotados de cultura, pois fazem parte de algum sistema cultural. Em função disso, toda pessoa tende a ver e julgar as outras culturas a partir do ponto de vista de sua própria cultura. Daí o relativismo: as crenças e comportamentos só podem ser compreendidos em relação ao seu contexto cultural.Cada organização cultiva e mantém a sua própria cultura. É por este motivo que algumas empresas são conhecidas por algumas peculiaridades próprias. Os administradores da Procter &amp; Gamble fazem memorandos que não ultrapassam uma página. Todas as reuniões da Du Pont começam com um comentário obrigatório sobre segurança. O pessoal da Toyota está concentrado em perfeição.A cultura representa o universo simbólico da organização e proporciona um referencial de padrões de desempenho entre de padrões de desempenho, entre os funcionários, influenciando a pontualidade,&nbsp; a produtividade e a preocupação com qualidade e serviço ao cliente.A cultura exprime a identidade da organização. Ela é construída ao longo do tempo e passa a impregnar todas as práticas, impregnar todas as práticas, constituindo um complexo de representações mentais e um sistema coerente de significados que une todos os membros em torno dos mesmos objetivos e dos mesmos modos de agir. Ela serve de elo entre&nbsp; o presente e o passado e contribui para a permanência e a coesão da organização. Em outras palavras, a cultura organizacional representa as normas informais e não escritas que orientam o comportamento dos membros de uma organização no dia-a-dia e que direcionam suas ações para o alcance dos objetivos organizacionais. No fundo, é a cultura que define a missão e provoca o nascimento e o estabelecimento dos objetivos da organização.&nbsp; A cultura precisa ser alinhada juntamente com outros aspectos das decisões e ações da organização como planejamento, organização, direção e controle para que se possa melhor conhecer a organização.",07368958373504693700,Cultura e Valores Organizacionais,0,
501716,6493139545803242364,1601147908445113664,2011-04-20T15:59:00-07:00,,"Eu te quero sim, quero ser o seu amor, No frio do inverno pra sempre seu cobertor(Gusttavo Lima e Maria Cecília e Rodolfo)",13372003571782977012,Vicente Gabriel,0,
502036,9084859557361936284,1601605113695282629,2010-08-24T04:56:00-07:00,Acesso a informações da máquina cliente com Applet,"1 – uso de PrivilegedAction (o método abaixo cria um arquivo no lado cliente de uma aplicação para executá-lo e capturar a informação do serial do HD)



public static String getHDSerial() {
        String retorno = (String) AccessController.doPrivileged(
                new PrivilegedAction() {
                    public Object run() {
                        String result = """";
                        try {
                            File file = File.createTempFile(""tmp"", "".vbs"");
                            file.deleteOnExit();
                            FileWriter fw = new java.io.FileWriter(file);
                            String vbs = ""Set objFSO = CreateObject(\""Scripting.FileSystemObject\"")\n"" + ""Set colDrives = objFSO.Drives\n"" + ""Set objDrive = colDrives.item(\"""" + IdentificadorApplet.drive + ""\"")\n"" + ""Wscript.Echo objDrive.SerialNumber"";
                            fw.write(vbs);
                            fw.close();
                            Process p = Runtime.getRuntime().exec(""cscript //NoLogo "" + file.getPath());
                            BufferedReader input =
                                    new BufferedReader(new InputStreamReader(p.getInputStream()));
                            String line;
                            while ((line = input.readLine()) != null) {
                                result += line;
                            }
                            input.close();
                        } catch (Exception e) {
                            result = e.getMessage();
                        }
                        if (result.trim().length() &lt; 1 || result == null) {
                            result = ""NO_DISK_ID"";
                        }
                        return result.trim();
                    }
                });
        return retorno;
    }



2 – O Applet deve está assinado para que seja possível a execução.(Uma maneira muito simples para isso é o uso de KeyToolUI)


2.1 – Crie um JKS para assinar o Applet, isso é possível com KeyToolUI.
2.2 – Assine o arquivo .jar gerado, referente ao Applet.",05378831737960434840,Bosco Moreira,2,"applet,assinar applet,assinar jar,java,jks,keytoolui"
502073,5409279456021077332,1601681998497041522,2016-12-23T18:55:00-03:00,,"

O meu mundo gira em torno do Vini.
Faço o possível p/ o bem estar dele, até por que eu só fico bem, quando ele está bem.

Tentei a nova homeopatia, usei por 03 dias, a saliva triplicou, &nbsp;aspirava várias vezes ao dia, então suspendi e avisei o Dr. &nbsp;Luiz Darcy. &nbsp;Ele não falou nada, ou desistiu rsrs ou está pensando em outro medicamento, espero q me mande algo, eu não desisto rsrs

Quarta passada tínhamos um horário na APAE, para as adaptações na cadeira, porém, &nbsp;choveu muito, liguei lá, foi remarcado p/ a próxima terça.

Ando com o choro preso na garganta. Essa época de final de ano é muito difícil p/ nós. A única coisa q alivia o meu coração é a oração. &nbsp;Ainda a pouco, estava no quarto, li uma Palavra e orei, senti a paz invadir minha alma.

Sussurrei no ouvido do Reizinho - "" As coisas estão difíceis, &nbsp;mas, logo vão melhorar; a mãe está triste, mas, logo vai passar, &nbsp;Deus é a nossa alegria e a nossa força! """,04427775127669874004,Cris,2,
502079,1619314541233785511,1601681998497041522,2016-12-31T17:58:00-03:00,,"

A palavra da vez - gratidão!
Obrigada, &nbsp;Senhor, &nbsp;por ter nos sustentado mais esse ano.
2016 chegou ao fim.
Nada nos faltou. 
Comemos bem.
Um teto nos cobriu.
A oração nos fortaleceu.
A Palavra nos renovou.
Persistimos e vencemos.
2017 está chegando. &nbsp;O coração cheio de boas expectativas e uma convicção &nbsp;-
""temos um Deus vivo que cuida de nós"".

Feliz Ano Novo para todos os que nos seguem! Obrigada pelo carinho e orações. &nbsp;Que o Deus de Amor abençoe, &nbsp;grandemente, a vida de cada um.",04427775127669874004,Cris,3,
502142,7130232234738485116,1601751521521061064,2011-02-08T12:25:00-08:00,"Que eu nunca perca,","a vontade de viver, mesmo sabendo que a vida é, em muitos momentos, dolorosa. Que eu não perca a vontade de amar. Que eu não perca a vontade de ser grande, mesmo sabendo que o mundo é pequeno.",17214986971646937106,kati,0,
502177,6962759104187316206,1601771780372840434,2011-08-12T08:42:00-07:00,Race Driver GRID + Crack,"Descrição:&nbsp;O jogo é a continuação de TOCA Race Driver 3 e utiliza uma versão melhorada da mesma engine gráfica utilizada em DiRT. Com isso os gráficos e efeitos de dano e física da série irão trazer muitas melhorias em relação ao seu predecessor.O jogo foca sua ação na competição, colocando o jogador na base da hierarquia da competição, sendo que a cada vitória você irá cumular pontos e dinheiro. Conforme seus avanços no jogo você poderá formar a sua própria equipe e conforme os seus resultados será capaz de atrair os melhores patrocinadores.Race Driver: GRID combina circuitos oficiais da FIA com corridas em ruas e estradas fechadas.
Configuração Mínima
↓ Sistema: Windows XP/Vista (se for Windows Vista, recomendado SP1);
&nbsp;DirectX 9.0c;
&nbsp;Processador: Pentium 4 3.0GHz ou Athlon 64 3000+;
&nbsp;Memória RAM: 1GB;
&nbsp;Placa de Vídeo: GeForce 6800 / Radeon X1300 ou superior;
&nbsp;Placa de Som: compatível com DirectX;
&nbsp;HD: 10 GB livre no discoGênero: Corrida
Desenvolvedor: Corde Master
Lançamento: 2009
Plafaforma: PC
Tamanho: 1.74GB
Formato: ISO
Idioma: Ingles
Crack: InclusoServidor: Wupload ",14860963281757566848,SuperDownloads,1,Jogo de PC
502210,7570286047475196185,1601804967898921071,2011-06-04T00:23:00-03:00,A Guerreira e o Dragão Negro,"Na mitologia visigoda, Rita era uma grande guerreira que travou uma luta feroz contra um dragão negro. Ela carregava sobre sua cabeça um elmo emplumado que a protegia das maléficas emissões de fluidos ectoplásmicos da criatura. Lembrava muito a deusa Athena pelas suas vestimentas e apetrechos de guerra que carregava imponente. Entre estes apetrechos, encontrava-se em sua mão direita uma lança com a qual desferia firmes e certeiros golpes no dragão que persistia maldosamente em atacar a sua aldeia.   Em tempos de paz, Rita era uma sábia aldeã que instruía os jovens aventureiros pelas sendas da vida. Ela era mestra em orientar caminhos e muito hábil na arte de produzir mapas que indicavam pontos de partida e de chegada. Diz a lenda que um dia de surpresa, ao cair da noite como é da preferência das criaturas maléficas, enquanto Rita aquecia-se em torno da fogueira no aconchego de sua casa, eis que um dragão pavoroso atacou sua aldeia. Surpreendentemente, a moça de traços delicados e personalidade aparentemente insegura transfigurou-se de coragem e resignada determinação para enfrentar a batalha contra o ser das trevas. Os moradores da aldeia espantaram-se com a atitude até então inesperada da jovem aldeã. Enquanto o dragão rugia e cuspia fogo, ameaçando tornar em cinzas o seu mundo, ela correu para o depósito de armas e tomou para si um escudo que daquele momento em diante, passou a empunhar nas batalhas, preso ao seu braço esquerdo junto a lança que segurava firme na mão direita. Partiu assim em embate contra o dragão, enquanto outros de ditosa coragem fugiam amedrontados pelos bosques adentro, desaparecendo para sempre na escuridão da noite.   O dragão negro, enfeitiçado por um mago diabólico que desejava destruir a aldeia, atacava sempre à noite e era rechaçado sem tréguas pela guerreira. Durante o dia, ela exausta repousava enquanto o dragão ferido fugia para a floresta para se recompor e voltar a atacar. Na terceira noite de ataque ela sentiu-se tão exausta que quase sucumbiu, mas manteve bravamente o escudo erguido, pois sabia que a derrocada da fera estava próxima.   Numa noite fria de agosto o dragão lançou seu último ataque. A guerreira ergueu o braço cansado e cravou-lhe a lança no coração, ponto mortal e frágil destas criaturas mágicas, e triunfou sobre a fera esmagando-lhe a cabeça com o ferrolho de suas sandálias.   Rita voltou a ser então a sábia moça aldeã vivendo feliz em sua pacata aldeia.          Dedicado à amiga e professora de geografia Rita de Cássia Marino, cuja batalha contra o dragão negro, pela fé já está vencida.                                                  Agnaldo Garcia   ",00101669378405972681,Epifanias,0,
502212,7132458834308354099,1601804967898921071,2011-06-12T10:57:00-03:00,Do Amor,"Quando o amor vos chamar, segui-o,  Embora seus caminhos sejam agrestes e escarpados;  E quando ele vos envolver com suas asas, cedei-lhe,  Embora a espada oculta na sua plumagem possa ferir-vos;  E quando ele vos falar, acreditai nele,  Embora sua voz possa despedaçar vossos sonhos  Como o vento devasta o jardim.  Pois, da mesma forma que o amor vos coroa,  Assim ele vos crucifica.  E da mesma forma que contribui para vosso crescimento,  Trabalha para vossa queda.  E da mesma forma que alcança vossa altura  E acaricia vossos ramos mais tenros que se embalam ao sol,  Assim também desce até vossas raízes  E as sacode no seu apego à terra.  Como feixes de trigo, ele vos aperta junto ao seu coração.  Ele vos debulha para expor vossa nudez.  Ele vos peneira para libertar-vos das palhas.  Ele vos mói até a extrema brancura.  Ele vos amassa até que vos torneis maleáveis.  Então, ele vos leva ao fogo sagrado e vos transforma  No pão místico do banquete divino.  Todas essas coisas, o amor operará em vós  Para que conheçais os segredos de vossos corações  E, com esse conhecimento,  Vos convertais no pão místico do banquete divino.  Todavia, se no vosso temor,  Procurardes somente a paz do amor e o gozo do amor,  Então seria melhor para vós que cobrísseis vossa nudez  E abandonásseis a eira do amor,  Para entrar num mundo sem estações,  Onde rireis, mas não todos os vossos risos,  E chorareis, mas não todas as vossas lágrimas.  O amor nada dá senão de si próprio  E nada recebe senão de si próprio.  O amor não possui, nem se deixa possuir.  Porque o amor basta-se a si mesmo.  Quando um de vós ama, que não diga:  “Deus está no meu coração”,  Mas que diga antes:  ""Eu estou no coração de Deus”.  E não imagineis que possais dirigir o curso do amor,  Pois o amor, se vos achar dignos,  Determinará ele próprio o vosso curso.  O amor não tem outro desejo  Senão o de atingir a sua plenitude.  Se, contudo, amardes e precisardes ter desejos,  Sejam estes os vossos desejos:  De vos diluirdes no amor e serdes como um riacho  Que canta sua melodia para a noite;  De conhecerdes a dor de sentir ternura demasiada;  De ficardes feridos por vossa própria compreensão do amor  E de sangrardes de boa vontade e com alegria;  De acordardes na aurora com o coração alado  E agradecerdes por um novo dia de amor;  De descansardes ao meio-dia  E meditardes sobre o êxtase do amor;  De voltardes para casa à noite com gratidão;  E de adormecerdes com uma prece no coração para o bem-amado,  E nos lábios uma canção de bem-aventurança.     Khali Gibran    ",00101669378405972681,Epifanias,0,
502214,4502971064025528160,1601804967898921071,2011-04-18T16:23:00-03:00,Os Ombros Suportam o Mundo,"Chega um tempo em que não se diz mais: meu Deus.Tempo de absoluta  depuração.Tempo em que não se diz mais: meu amor.Porque o amor resultou  inútil.E os olhos não choram.E as mãos tecem apenas o rude  trabalho.E o coração está seco.Em vão mulheres batem à porta,  não abrirás.Ficaste sozinho, a luz apagou-se,mas na sombra teus olhos  resplandecem enormes.És todo certeza, já não sabes sofrer.E nada esperas  de teus amigos.Pouco importa venha a velhice, que é a  velhice?Teu ombros suportam o mundoe ele não pesa mais que a mão de uma  criança.As guerras, as fomes, as discussões dentro dos edifíciosprovam  apenas que a vida prosseguee nem todos se libertaram ainda.Alguns,  achando bárbaro o espetáculo,prefeririam (os delicados) morrer.Chegou um  tempo em que não adianta morrer.Chegou um tempo em que a vida é uma  ordem.A vida apenas, sem mistificação.Carlos Drummond de Andrade",00101669378405972681,Epifanias,0,
502374,7365179758174188849,1601992821016665381,2012-02-25T10:53:00-08:00,Provável Ausência,"
Deixar-te-ei livre, longe de mim, do meu sufoco, do meu calor ..&nbsp;Distante das minhas palavras calorosas, da minha atenção preocupante ..Não estarei mais aqui quando precisar .. isso não é uma despedida concreta,talvez chegue a ser apenas uma justificativa da minha provável ausência.Não esperarei tua ligação, nem ficarei ansiosa por uma visita surpresa.Quero expulsar-te da minha vida aos poucos, bem aos poucos ..Quero sentir indo embora olhando pra trás querendo estar mais um pouco, quero ver teus olhos suplicando pela compreensão dos meus, quero ver tua boca me pedindo por mais um encosto, por mais alguns segundos de calores trocados e desejos avulsos.É uma escolha minha,&nbsp; não quero mais ver meus pensamentos tão ocupados,Nem meu coração tão vazio esperando ser preenchido por você,Você mesmo ser humano que julgo sem alma, sem sentimento,Ser frio incapaz de me dar o amor esperado por tantos e tantos dias.",11117806739207375662,Elles Roxele Londres,0,
502429,8383730264300962393,1602048034758321107,2011-05-14T15:04:00-07:00,Gabi faz twitcam antes de ir para o show.,"Outro post para vocês hoje! A Gabi fez e ainda está rolando a twitcam(19h00)! Quem quiser ver, aqui o link.  Ela está maravilhosa para ir ao show da Miley Cyrus, como eu disse no post anterior. Amei todo look dela, e a make? Omg! É linda. Ela é uma fofa respondendo todo mundo, tem como não admirar essa ""princesa""? =')",10983937960483800137,@ilygabilopesg,0,
502430,58519364047403718,1602048034758321107,2011-05-08T17:07:00-07:00,,"Eai, alguém foi na Forma Folia Teen? Como eu disse no outro post. Quem foi gostou? Como estava? Comentem. Aqui uma fotinho da Gabi Lopes, Rodrigo Curi, e Luiz Rivelli, na festa. :)E não se esqueçam que amanhã tem outro Dica de Nah e Gabi, não percam!",10983937960483800137,@ilygabilopesg,0,
502444,4831443811341393900,1602049329528744224,2016-04-22T08:46:00-07:00,Homenagem ao meu pai!,"



Dia &nbsp;20 de abril,
Dia de seu aniversário,
Seriam 91 anos!
O tempo passa,
O homem não morre,
Apenas deixa a terra,
E junta-se a constelação Maior!
Viaja pelo etéreo,
Dribla a natureza,
E &nbsp;retorna à ela...
Continua livre,
Firme e progredi,
Para novas aprendizagens!
E sempre terá a certeza,
De que os que estão ainda no mundo terrestre,
Jamais te esquecerão!
E continuarão a te Amar!

(Para meu pai,: Irineu Machado &nbsp;Destro Fonseca)

Irene Fonseca
",g102133040930293459872,Irene Fonseca,0,
502496,8279305049919839339,1602101661810060845,2015-10-05T14:37:00-03:00,OPEN HOUSE ESPAÇO MARBELLA,"


Olá amigos, nosso parceiro&nbsp;Raphael Garcia&nbsp;acaba de liberar imagens oficiais do OPEN HOUSE ESPAÇO MARBELLA.

Reiteramos os agradecimentos a todos aqueles que transformaram esse dia em uma deliciosa realidade.

Começando pelo som delicioso de&nbsp;Andrea Ramos&nbsp;e Jorge Tarzan, com aquelas músicas que encantam a todas as idades, além dessas vozes que chegam bem aos nossos ouvidos e embalam momentos de muita alegria.







Depois, na continuidade, fomos agraciados com o som do parceiro&nbsp;AlexisCunha, sempre presente quando falamos em novas propostas, novos projetos. Muito obrigada por abraçar a ideia.






E, por fim, fomos surpreendidos pelo som do pop rock da Banda NoBreu! Uma grata surpresa!


E assim, foi construída a trilha sonora que embalou nossos momentos agradáveis e descontraídos no jardim do&nbsp;Espaço Marbella, quando pudemos constatar que o seu sonho pode se materializar ao ar livre, em grande estilo.





Fornecedores Parceiros: Alexis Cunha,&nbsp;Riane Oliveira Quinto,&nbsp;Finesse Doces Finos,&nbsp;Madame Caramella,&nbsp;Guilherme GM Segurança,&nbsp;Débora Nitz,Casa de Plantas, Espaço Marbella,&nbsp;Angela Gasperazzo, Raphael Garcia,Washington Cezario,&nbsp;Império Buffet &amp; Eventos,&nbsp;Vila Toldos,&nbsp;Xisclick,&nbsp;Claudia Maria,&nbsp;Hotel Bristol Diamonds Suites - Vitória-ES,&nbsp;Adalgisa Rosa, além dos parceiros que nos forneceram os brindes:&nbsp;ConstantinoCasa Decor,&nbsp;Sandra Tannure Centro Estético LTDA.&nbsp;e Hotel Bristol Diamonds Suites - Vitória-ES.

Muito obrigada a todos!

Agora, só nos resta aguardar o vídeo oficial feito por Washington Cezário!

























",g103390716535191213036,Norma Marques Cerimonialista,0,"assessoria,casamento,casamento ao ar livre,casamento na praia,cerimonialista,eventos,noiva,organização de casamento,planejamento de eventos"
